Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,1/1/2015 0:00,2015,1,1,0,22
Beijing,PM2.5,1/1/2015 1:00,2015,1,1,1,9
Beijing,PM2.5,1/1/2015 10:00,2015,1,1,10,37
Beijing,PM2.5,1/1/2015 11:00,2015,1,1,11,40
Beijing,PM2.5,1/1/2015 12:00,2015,1,1,12,63
Beijing,PM2.5,1/1/2015 13:00,2015,1,1,13,62
Beijing,PM2.5,1/1/2015 14:00,2015,1,1,14,44
Beijing,PM2.5,1/1/2015 15:00,2015,1,1,15,48
Beijing,PM2.5,1/1/2015 16:00,2015,1,1,16,51
Beijing,PM2.5,1/1/2015 17:00,2015,1,1,17,82
Beijing,PM2.5,1/1/2015 18:00,2015,1,1,18,87
Beijing,PM2.5,1/1/2015 19:00,2015,1,1,19,106
Beijing,PM2.5,1/1/2015 2:00,2015,1,1,2,9
Beijing,PM2.5,1/1/2015 20:00,2015,1,1,20,123
Beijing,PM2.5,1/1/2015 21:00,2015,1,1,21,136
Beijing,PM2.5,1/1/2015 22:00,2015,1,1,22,139
Beijing,PM2.5,1/1/2015 23:00,2015,1,1,23,154
Beijing,PM2.5,1/1/2015 3:00,2015,1,1,3,13
Beijing,PM2.5,1/1/2015 4:00,2015,1,1,4,10
Beijing,PM2.5,1/1/2015 5:00,2015,1,1,5,6
Beijing,PM2.5,1/1/2015 6:00,2015,1,1,6,8
Beijing,PM2.5,1/1/2015 7:00,2015,1,1,7,17
Beijing,PM2.5,1/1/2015 8:00,2015,1,1,8,11
Beijing,PM2.5,1/1/2015 9:00,2015,1,1,9,33
Beijing,PM2.5,1/10/2015 0:00,2015,1,10,0,247
Beijing,PM2.5,1/10/2015 1:00,2015,1,10,1,270
Beijing,PM2.5,1/10/2015 10:00,2015,1,10,10,230
Beijing,PM2.5,1/10/2015 11:00,2015,1,10,11,197
Beijing,PM2.5,1/10/2015 12:00,2015,1,10,12,185
Beijing,PM2.5,1/10/2015 13:00,2015,1,10,13,156
Beijing,PM2.5,1/10/2015 14:00,2015,1,10,14,137
Beijing,PM2.5,1/10/2015 15:00,2015,1,10,15,75
Beijing,PM2.5,1/10/2015 16:00,2015,1,10,16,92
Beijing,PM2.5,1/10/2015 17:00,2015,1,10,17,82
Beijing,PM2.5,1/10/2015 18:00,2015,1,10,18,162
Beijing,PM2.5,1/10/2015 19:00,2015,1,10,19,212
Beijing,PM2.5,1/10/2015 2:00,2015,1,10,2,291
Beijing,PM2.5,1/10/2015 20:00,2015,1,10,20,233
Beijing,PM2.5,1/10/2015 21:00,2015,1,10,21,232
Beijing,PM2.5,1/10/2015 22:00,2015,1,10,22,57
Beijing,PM2.5,1/10/2015 23:00,2015,1,10,23,23
Beijing,PM2.5,1/10/2015 3:00,2015,1,10,3,227
Beijing,PM2.5,1/10/2015 4:00,2015,1,10,4,209
Beijing,PM2.5,1/10/2015 5:00,2015,1,10,5,174
Beijing,PM2.5,1/10/2015 6:00,2015,1,10,6,166
Beijing,PM2.5,1/10/2015 7:00,2015,1,10,7,182
Beijing,PM2.5,1/10/2015 8:00,2015,1,10,8,193
Beijing,PM2.5,1/10/2015 9:00,2015,1,10,9,258
Beijing,PM2.5,1/11/2015 0:00,2015,1,11,0,7
Beijing,PM2.5,1/11/2015 1:00,2015,1,11,1,6
Beijing,PM2.5,1/11/2015 10:00,2015,1,11,10,8
Beijing,PM2.5,1/11/2015 11:00,2015,1,11,11,8
Beijing,PM2.5,1/11/2015 12:00,2015,1,11,12,14
Beijing,PM2.5,1/11/2015 13:00,2015,1,11,13,22
Beijing,PM2.5,1/11/2015 14:00,2015,1,11,14,28
Beijing,PM2.5,1/11/2015 15:00,2015,1,11,15,31
Beijing,PM2.5,1/11/2015 16:00,2015,1,11,16,28
Beijing,PM2.5,1/11/2015 17:00,2015,1,11,17,62
Beijing,PM2.5,1/11/2015 18:00,2015,1,11,18,81
