Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2010/1/1 23:00,2010,1,1,23,129
Beijing,PM2.5,2010/1/2 0:00,2010,1,2,0,148
Beijing,PM2.5,2010/1/2 1:00,2010,1,2,1,159
Beijing,PM2.5,2010/1/2 2:00,2010,1,2,2,181
Beijing,PM2.5,2010/1/2 3:00,2010,1,2,3,138
Beijing,PM2.5,2010/1/2 4:00,2010,1,2,4,109
Beijing,PM2.5,2010/1/2 5:00,2010,1,2,5,105
Beijing,PM2.5,2010/1/2 6:00,2010,1,2,6,124
Beijing,PM2.5,2010/1/2 7:00,2010,1,2,7,120
Beijing,PM2.5,2010/1/2 8:00,2010,1,2,8,132
Beijing,PM2.5,2010/1/2 9:00,2010,1,2,9,140
Beijing,PM2.5,2010/1/2 10:00,2010,1,2,10,152
Beijing,PM2.5,2010/1/2 11:00,2010,1,2,11,148
Beijing,PM2.5,2010/1/2 12:00,2010,1,2,12,164
Beijing,PM2.5,2010/1/2 13:00,2010,1,2,13,158
Beijing,PM2.5,2010/1/2 14:00,2010,1,2,14,154
Beijing,PM2.5,2010/1/2 15:00,2010,1,2,15,159
Beijing,PM2.5,2010/1/2 16:00,2010,1,2,16,164
Beijing,PM2.5,2010/1/2 17:00,2010,1,2,17,170
Beijing,PM2.5,2010/1/2 18:00,2010,1,2,18,149
Beijing,PM2.5,2010/1/2 19:00,2010,1,2,19,154
Beijing,PM2.5,2010/1/2 20:00,2010,1,2,20,164
Beijing,PM2.5,2010/1/2 21:00,2010,1,2,21,156
Beijing,PM2.5,2010/1/2 22:00,2010,1,2,22,126
Beijing,PM2.5,2010/1/2 23:00,2010,1,2,23,90
Beijing,PM2.5,2010/1/3 0:00,2010,1,3,0,63
Beijing,PM2.5,2010/1/3 1:00,2010,1,3,1,65
Beijing,PM2.5,2010/1/3 2:00,2010,1,3,2,55
Beijing,PM2.5,2010/1/3 3:00,2010,1,3,3,65
Beijing,PM2.5,2010/1/3 4:00,2010,1,3,4,83
Beijing,PM2.5,2010/1/3 5:00,2010,1,3,5,91
Beijing,PM2.5,2010/1/3 6:00,2010,1,3,6,86
Beijing,PM2.5,2010/1/3 7:00,2010,1,3,7,82
Beijing,PM2.5,2010/1/3 8:00,2010,1,3,8,86
Beijing,PM2.5,2010/1/3 9:00,2010,1,3,9,78
Beijing,PM2.5,2010/1/3 10:00,2010,1,3,10,98
Beijing,PM2.5,2010/1/3 11:00,2010,1,3,11,107
Beijing,PM2.5,2010/1/3 12:00,2010,1,3,12,90
Beijing,PM2.5,2010/1/3 13:00,2010,1,3,13,96
Beijing,PM2.5,2010/1/3 14:00,2010,1,3,14,95
Beijing,PM2.5,2010/1/3 15:00,2010,1,3,15,86
Beijing,PM2.5,2010/1/3 16:00,2010,1,3,16,70
Beijing,PM2.5,2010/1/3 17:00,2010,1,3,17,61
Beijing,PM2.5,2010/1/3 18:00,2010,1,3,18,53
Beijing,PM2.5,2010/1/3 19:00,2010,1,3,19,71
Beijing,PM2.5,2010/1/3 20:00,2010,1,3,20,72
Beijing,PM2.5,2010/1/3 21:00,2010,1,3,21,76
Beijing,PM2.5,2010/1/3 22:00,2010,1,3,22,73
Beijing,PM2.5,2010/1/3 23:00,2010,1,3,23,79
Beijing,PM2.5,2010/1/4 0:00,2010,1,4,0,58
Beijing,PM2.5,2010/1/4 1:00,2010,1,4,1,25
Beijing,PM2.5,2010/1/4 2:00,2010,1,4,2,26
Beijing,PM2.5,2010/1/4 3:00,2010,1,4,3,28
Beijing,PM2.5,2010/1/4 4:00,2010,1,4,4,26
Beijing,PM2.5,2010/1/4 5:00,2010,1,4,5,20
Beijing,PM2.5,2010/1/4 6:00,2010,1,4,6,29
Beijing,PM2.5,2010/1/4 7:00,2010,1,4,7,26
Beijing,PM2.5,2010/1/4 8:00,2010,1,4,8,27
Beijing,PM2.5,2010/1/4 9:00,2010,1,4,9,27
Beijing,PM2.5,2010/1/4 10:00,2010,1,4,10,25
Beijing,PM2.5,2010/1/4 11:00,2010,1,4,11,29
Beijing,PM2.5,2010/1/4 12:00,2010,1,4,12,32
Beijing,PM2.5,2010/1/4 13:00,2010,1,4,13,28
Beijing,PM2.5,2010/1/4 14:00,2010,1,4,14,29
Beijing,PM2.5,2010/1/4 15:00,2010,1,4,15,30
Beijing,PM2.5,2010/1/4 16:00,2010,1,4,16,30
Beijing,PM2.5,2010/1/4 17:00,2010,1,4,17,28
Beijing,PM2.5,2010/1/4 18:00,2010,1,4,18,26
Beijing,PM2.5,2010/1/4 19:00,2010,1,4,19,31
Beijing,PM2.5,2010/1/4 20:00,2010,1,4,20,33
Beijing,PM2.5,2010/1/4 21:00,2010,1,4,21,29
Beijing,PM2.5,2010/1/4 22:00,2010,1,4,22,31
Beijing,PM2.5,2010/1/4 23:00,2010,1,4,23,30
Beijing,PM2.5,2010/1/5 0:00,2010,1,5,0,34
Beijing,PM2.5,2010/1/5 1:00,2010,1,5,1,27
Beijing,PM2.5,2010/1/5 2:00,2010,1,5,2,25
Beijing,PM2.5,2010/1/5 3:00,2010,1,5,3,28
Beijing,PM2.5,2010/1/5 4:00,2010,1,5,4,28
Beijing,PM2.5,2010/1/5 5:00,2010,1,5,5,27
Beijing,PM2.5,2010/1/5 6:00,2010,1,5,6,27
Beijing,PM2.5,2010/1/5 7:00,2010,1,5,7,27
Beijing,PM2.5,2010/1/5 8:00,2010,1,5,8,29
Beijing,PM2.5,2010/1/5 9:00,2010,1,5,9,36
Beijing,PM2.5,2010/1/5 10:00,2010,1,5,10,30
Beijing,PM2.5,2010/1/5 11:00,2010,1,5,11,27
Beijing,PM2.5,2010/1/5 12:00,2010,1,5,12,39
Beijing,PM2.5,2010/1/5 13:00,2010,1,5,13,41
Beijing,PM2.5,2010/1/5 14:00,2010,1,5,14,33
Beijing,PM2.5,2010/1/5 15:00,2010,1,5,15,50
Beijing,PM2.5,2010/1/5 16:00,2010,1,5,16,56
Beijing,PM2.5,2010/1/5 17:00,2010,1,5,17,59
Beijing,PM2.5,2010/1/5 18:00,2010,1,5,18,60
Beijing,PM2.5,2010/1/5 19:00,2010,1,5,19,84
Beijing,PM2.5,2010/1/5 20:00,2010,1,5,20,106
Beijing,PM2.5,2010/1/5 21:00,2010,1,5,21,66
Beijing,PM2.5,2010/1/5 22:00,2010,1,5,22,50
Beijing,PM2.5,2010/1/5 23:00,2010,1,5,23,56
Beijing,PM2.5,2010/1/6 0:00,2010,1,6,0,77
Beijing,PM2.5,2010/1/6 1:00,2010,1,6,1,50
Beijing,PM2.5,2010/1/6 2:00,2010,1,6,2,44
Beijing,PM2.5,2010/1/6 3:00,2010,1,6,3,27
Beijing,PM2.5,2010/1/6 4:00,2010,1,6,4,28
Beijing,PM2.5,2010/1/6 5:00,2010,1,6,5,21
Beijing,PM2.5,2010/1/6 6:00,2010,1,6,6,25
Beijing,PM2.5,2010/1/6 7:00,2010,1,6,7,20
Beijing,PM2.5,2010/1/6 8:00,2010,1,6,8,29
Beijing,PM2.5,2010/1/6 9:00,2010,1,6,9,34
Beijing,PM2.5,2010/1/6 10:00,2010,1,6,10,42
Beijing,PM2.5,2010/1/6 11:00,2010,1,6,11,28
Beijing,PM2.5,2010/1/6 12:00,2010,1,6,12,36
Beijing,PM2.5,2010/1/6 13:00,2010,1,6,13,48
Beijing,PM2.5,2010/1/6 14:00,2010,1,6,14,49
Beijing,PM2.5,2010/1/6 15:00,2010,1,6,15,52
Beijing,PM2.5,2010/1/6 16:00,2010,1,6,16,56
Beijing,PM2.5,2010/1/6 17:00,2010,1,6,17,96
Beijing,PM2.5,2010/1/6 18:00,2010,1,6,18,75
Beijing,PM2.5,2010/1/6 19:00,2010,1,6,19,105
Beijing,PM2.5,2010/1/6 20:00,2010,1,6,20,132
Beijing,PM2.5,2010/1/6 21:00,2010,1,6,21,93
Beijing,PM2.5,2010/1/6 22:00,2010,1,6,22,131
Beijing,PM2.5,2010/1/6 23:00,2010,1,6,23,127
Beijing,PM2.5,2010/1/7 0:00,2010,1,7,0,130
Beijing,PM2.5,2010/1/7 1:00,2010,1,7,1,43
Beijing,PM2.5,2010/1/7 2:00,2010,1,7,2,37
Beijing,PM2.5,2010/1/7 3:00,2010,1,7,3,30
Beijing,PM2.5,2010/1/7 4:00,2010,1,7,4,28
Beijing,PM2.5,2010/1/7 5:00,2010,1,7,5,24
Beijing,PM2.5,2010/1/7 6:00,2010,1,7,6,23
Beijing,PM2.5,2010/1/7 7:00,2010,1,7,7,24
Beijing,PM2.5,2010/1/7 8:00,2010,1,7,8,27
Beijing,PM2.5,2010/1/7 9:00,2010,1,7,9,40
Beijing,PM2.5,2010/1/7 10:00,2010,1,7,10,42
Beijing,PM2.5,2010/1/7 11:00,2010,1,7,11,42
Beijing,PM2.5,2010/1/7 12:00,2010,1,7,12,55
Beijing,PM2.5,2010/1/7 13:00,2010,1,7,13,52
Beijing,PM2.5,2010/1/7 14:00,2010,1,7,14,51
Beijing,PM2.5,2010/1/7 15:00,2010,1,7,15,57
Beijing,PM2.5,2010/1/7 16:00,2010,1,7,16,50
Beijing,PM2.5,2010/1/7 17:00,2010,1,7,17,54
Beijing,PM2.5,2010/1/7 18:00,2010,1,7,18,67
Beijing,PM2.5,2010/1/7 19:00,2010,1,7,19,106
Beijing,PM2.5,2010/1/7 20:00,2010,1,7,20,159
Beijing,PM2.5,2010/1/7 21:00,2010,1,7,21,198
Beijing,PM2.5,2010/1/7 22:00,2010,1,7,22,190
Beijing,PM2.5,2010/1/7 23:00,2010,1,7,23,210
Beijing,PM2.5,2010/1/8 0:00,2010,1,8,0,195
Beijing,PM2.5,2010/1/8 1:00,2010,1,8,1,275
Beijing,PM2.5,2010/1/8 2:00,2010,1,8,2,164
Beijing,PM2.5,2010/1/8 3:00,2010,1,8,3,110
Beijing,PM2.5,2010/1/8 4:00,2010,1,8,4,100
Beijing,PM2.5,2010/1/8 5:00,2010,1,8,5,81
Beijing,PM2.5,2010/1/8 6:00,2010,1,8,6,71
Beijing,PM2.5,2010/1/8 7:00,2010,1,8,7,66
Beijing,PM2.5,2010/1/8 8:00,2010,1,8,8,92
Beijing,PM2.5,2010/1/8 9:00,2010,1,8,9,135
Beijing,PM2.5,2010/1/8 10:00,2010,1,8,10,155
Beijing,PM2.5,2010/1/8 11:00,2010,1,8,11,198
Beijing,PM2.5,2010/1/8 12:00,2010,1,8,12,250
Beijing,PM2.5,2010/1/8 13:00,2010,1,8,13,200
Beijing,PM2.5,2010/1/8 14:00,2010,1,8,14,231
Beijing,PM2.5,2010/1/8 15:00,2010,1,8,15,250
Beijing,PM2.5,2010/1/8 16:00,2010,1,8,16,212
Beijing,PM2.5,2010/1/8 17:00,2010,1,8,17,219
Beijing,PM2.5,2010/1/8 18:00,2010,1,8,18,227
Beijing,PM2.5,2010/1/8 19:00,2010,1,8,19,226
Beijing,PM2.5,2010/1/8 20:00,2010,1,8,20,225
Beijing,PM2.5,2010/1/8 21:00,2010,1,8,21,168
Beijing,PM2.5,2010/1/8 22:00,2010,1,8,22,169
Beijing,PM2.5,2010/1/8 23:00,2010,1,8,23,165
Beijing,PM2.5,2010/1/9 0:00,2010,1,9,0,159
Beijing,PM2.5,2010/1/9 1:00,2010,1,9,1,167
Beijing,PM2.5,2010/1/9 2:00,2010,1,9,2,196
Beijing,PM2.5,2010/1/9 3:00,2010,1,9,3,169
Beijing,PM2.5,2010/1/9 4:00,2010,1,9,4,155
Beijing,PM2.5,2010/1/9 5:00,2010,1,9,5,119
Beijing,PM2.5,2010/1/9 6:00,2010,1,9,6,106
Beijing,PM2.5,2010/1/9 7:00,2010,1,9,7,93
Beijing,PM2.5,2010/1/9 8:00,2010,1,9,8,84
Beijing,PM2.5,2010/1/9 9:00,2010,1,9,9,73
Beijing,PM2.5,2010/1/9 10:00,2010,1,9,10,66
Beijing,PM2.5,2010/1/9 11:00,2010,1,9,11,40
Beijing,PM2.5,2010/1/9 12:00,2010,1,9,12,49
Beijing,PM2.5,2010/1/9 13:00,2010,1,9,13,50
Beijing,PM2.5,2010/1/9 14:00,2010,1,9,14,49
Beijing,PM2.5,2010/1/9 15:00,2010,1,9,15,41
Beijing,PM2.5,2010/1/9 16:00,2010,1,9,16,37
Beijing,PM2.5,2010/1/9 17:00,2010,1,9,17,45
Beijing,PM2.5,2010/1/9 18:00,2010,1,9,18,44
Beijing,PM2.5,2010/1/9 19:00,2010,1,9,19,54
Beijing,PM2.5,2010/1/9 20:00,2010,1,9,20,50
Beijing,PM2.5,2010/1/9 21:00,2010,1,9,21,47
Beijing,PM2.5,2010/1/9 22:00,2010,1,9,22,66
Beijing,PM2.5,2010/1/9 23:00,2010,1,9,23,75
Beijing,PM2.5,2010/1/10 0:00,2010,1,10,0,82
Beijing,PM2.5,2010/1/10 1:00,2010,1,10,1,66
Beijing,PM2.5,2010/1/10 2:00,2010,1,10,2,83
Beijing,PM2.5,2010/1/10 3:00,2010,1,10,3,62
Beijing,PM2.5,2010/1/10 4:00,2010,1,10,4,40
Beijing,PM2.5,2010/1/10 5:00,2010,1,10,5,23
Beijing,PM2.5,2010/1/10 6:00,2010,1,10,6,25
Beijing,PM2.5,2010/1/10 7:00,2010,1,10,7,27
Beijing,PM2.5,2010/1/10 8:00,2010,1,10,8,35
Beijing,PM2.5,2010/1/10 9:00,2010,1,10,9,50
Beijing,PM2.5,2010/1/10 10:00,2010,1,10,10,70
Beijing,PM2.5,2010/1/10 11:00,2010,1,10,11,75
Beijing,PM2.5,2010/1/10 12:00,2010,1,10,12,58
Beijing,PM2.5,2010/1/10 13:00,2010,1,10,13,70
Beijing,PM2.5,2010/1/10 14:00,2010,1,10,14,68
Beijing,PM2.5,2010/1/10 15:00,2010,1,10,15,71
Beijing,PM2.5,2010/1/10 16:00,2010,1,10,16,88
Beijing,PM2.5,2010/1/10 17:00,2010,1,10,17,84
Beijing,PM2.5,2010/1/10 18:00,2010,1,10,18,83
Beijing,PM2.5,2010/1/10 19:00,2010,1,10,19,66
Beijing,PM2.5,2010/1/10 20:00,2010,1,10,20,27
Beijing,PM2.5,2010/1/10 21:00,2010,1,10,21,24
Beijing,PM2.5,2010/1/10 22:00,2010,1,10,22,22
Beijing,PM2.5,2010/1/10 23:00,2010,1,10,23,23
Beijing,PM2.5,2010/1/11 0:00,2010,1,11,0,27
Beijing,PM2.5,2010/1/11 1:00,2010,1,11,1,23
Beijing,PM2.5,2010/1/11 2:00,2010,1,11,2,17
Beijing,PM2.5,2010/1/11 3:00,2010,1,11,3,17
Beijing,PM2.5,2010/1/11 4:00,2010,1,11,4,16
Beijing,PM2.5,2010/1/11 5:00,2010,1,11,5,16
Beijing,PM2.5,2010/1/11 6:00,2010,1,11,6,20
Beijing,PM2.5,2010/1/11 7:00,2010,1,11,7,20
Beijing,PM2.5,2010/1/11 8:00,2010,1,11,8,18
Beijing,PM2.5,2010/1/11 9:00,2010,1,11,9,25
Beijing,PM2.5,2010/1/11 10:00,2010,1,11,10,26
Beijing,PM2.5,2010/1/11 11:00,2010,1,11,11,27
Beijing,PM2.5,2010/1/11 12:00,2010,1,11,12,28
Beijing,PM2.5,2010/1/11 13:00,2010,1,11,13,15
Beijing,PM2.5,2010/1/11 14:00,2010,1,11,14,24
Beijing,PM2.5,2010/1/11 15:00,2010,1,11,15,13
Beijing,PM2.5,2010/1/11 16:00,2010,1,11,16,13
Beijing,PM2.5,2010/1/11 17:00,2010,1,11,17,13
Beijing,PM2.5,2010/1/11 18:00,2010,1,11,18,17
Beijing,PM2.5,2010/1/11 19:00,2010,1,11,19,20
Beijing,PM2.5,2010/1/11 20:00,2010,1,11,20,27
Beijing,PM2.5,2010/1/11 21:00,2010,1,11,21,20
Beijing,PM2.5,2010/1/11 22:00,2010,1,11,22,15
Beijing,PM2.5,2010/1/11 23:00,2010,1,11,23,21
Beijing,PM2.5,2010/1/12 0:00,2010,1,12,0,21
Beijing,PM2.5,2010/1/12 1:00,2010,1,12,1,37
Beijing,PM2.5,2010/1/12 2:00,2010,1,12,2,26
Beijing,PM2.5,2010/1/12 3:00,2010,1,12,3,15
Beijing,PM2.5,2010/1/12 4:00,2010,1,12,4,9
Beijing,PM2.5,2010/1/12 5:00,2010,1,12,5,11
Beijing,PM2.5,2010/1/12 6:00,2010,1,12,6,11
Beijing,PM2.5,2010/1/12 7:00,2010,1,12,7,16
Beijing,PM2.5,2010/1/12 8:00,2010,1,12,8,13
Beijing,PM2.5,2010/1/12 9:00,2010,1,12,9,15
Beijing,PM2.5,2010/1/12 10:00,2010,1,12,10,21
Beijing,PM2.5,2010/1/12 11:00,2010,1,12,11,24
Beijing,PM2.5,2010/1/12 12:00,2010,1,12,12,22
Beijing,PM2.5,2010/1/12 13:00,2010,1,12,13,22
Beijing,PM2.5,2010/1/12 14:00,2010,1,12,14,22
Beijing,PM2.5,2010/1/12 15:00,2010,1,12,15,19
Beijing,PM2.5,2010/1/12 16:00,2010,1,12,16,23
Beijing,PM2.5,2010/1/12 17:00,2010,1,12,17,25
Beijing,PM2.5,2010/1/12 18:00,2010,1,12,18,25
Beijing,PM2.5,2010/1/12 19:00,2010,1,12,19,31
Beijing,PM2.5,2010/1/12 20:00,2010,1,12,20,25
Beijing,PM2.5,2010/1/12 21:00,2010,1,12,21,22
Beijing,PM2.5,2010/1/12 22:00,2010,1,12,22,22
Beijing,PM2.5,2010/1/12 23:00,2010,1,12,23,15
Beijing,PM2.5,2010/1/13 0:00,2010,1,13,0,16
Beijing,PM2.5,2010/1/13 1:00,2010,1,13,1,11
Beijing,PM2.5,2010/1/13 2:00,2010,1,13,2,11
Beijing,PM2.5,2010/1/13 3:00,2010,1,13,3,12
Beijing,PM2.5,2010/1/13 4:00,2010,1,13,4,11
Beijing,PM2.5,2010/1/13 5:00,2010,1,13,5,12
Beijing,PM2.5,2010/1/13 6:00,2010,1,13,6,27
Beijing,PM2.5,2010/1/13 7:00,2010,1,13,7,28
Beijing,PM2.5,2010/1/13 8:00,2010,1,13,8,34
Beijing,PM2.5,2010/1/13 9:00,2010,1,13,9,33
Beijing,PM2.5,2010/1/13 10:00,2010,1,13,10,36
Beijing,PM2.5,2010/1/13 11:00,2010,1,13,11,26
Beijing,PM2.5,2010/1/13 12:00,2010,1,13,12,49
Beijing,PM2.5,2010/1/13 13:00,2010,1,13,13,52
Beijing,PM2.5,2010/1/13 14:00,2010,1,13,14,47
Beijing,PM2.5,2010/1/13 15:00,2010,1,13,15,47
Beijing,PM2.5,2010/1/13 16:00,2010,1,13,16,39
Beijing,PM2.5,2010/1/13 17:00,2010,1,13,17,59
Beijing,PM2.5,2010/1/13 18:00,2010,1,13,18,76
Beijing,PM2.5,2010/1/13 19:00,2010,1,13,19,96
Beijing,PM2.5,2010/1/13 20:00,2010,1,13,20,95
Beijing,PM2.5,2010/1/13 21:00,2010,1,13,21,68
Beijing,PM2.5,2010/1/13 22:00,2010,1,13,22,65
Beijing,PM2.5,2010/1/13 23:00,2010,1,13,23,75
Beijing,PM2.5,2010/1/14 0:00,2010,1,14,0,257
Beijing,PM2.5,2010/1/14 1:00,2010,1,14,1,174
Beijing,PM2.5,2010/1/14 2:00,2010,1,14,2,164
Beijing,PM2.5,2010/1/14 3:00,2010,1,14,3,161
Beijing,PM2.5,2010/1/14 4:00,2010,1,14,4,137
Beijing,PM2.5,2010/1/14 5:00,2010,1,14,5,92
Beijing,PM2.5,2010/1/14 6:00,2010,1,14,6,64
Beijing,PM2.5,2010/1/14 7:00,2010,1,14,7,87
Beijing,PM2.5,2010/1/14 8:00,2010,1,14,8,87
Beijing,PM2.5,2010/1/14 9:00,2010,1,14,9,84
Beijing,PM2.5,2010/1/14 10:00,2010,1,14,10,95
Beijing,PM2.5,2010/1/14 11:00,2010,1,14,11,79
Beijing,PM2.5,2010/1/14 12:00,2010,1,14,12,75
Beijing,PM2.5,2010/1/14 13:00,2010,1,14,13,79
Beijing,PM2.5,2010/1/14 14:00,2010,1,14,14,86
Beijing,PM2.5,2010/1/14 15:00,2010,1,14,15,72
Beijing,PM2.5,2010/1/14 16:00,2010,1,14,16,89
Beijing,PM2.5,2010/1/14 17:00,2010,1,14,17,94
Beijing,PM2.5,2010/1/14 18:00,2010,1,14,18,69
Beijing,PM2.5,2010/1/14 19:00,2010,1,14,19,49
Beijing,PM2.5,2010/1/14 20:00,2010,1,14,20,33
Beijing,PM2.5,2010/1/14 21:00,2010,1,14,21,27
Beijing,PM2.5,2010/1/14 22:00,2010,1,14,22,20
Beijing,PM2.5,2010/1/14 23:00,2010,1,14,23,36
Beijing,PM2.5,2010/1/15 0:00,2010,1,15,0,37
Beijing,PM2.5,2010/1/15 1:00,2010,1,15,1,30
Beijing,PM2.5,2010/1/15 2:00,2010,1,15,2,18
Beijing,PM2.5,2010/1/15 3:00,2010,1,15,3,21
Beijing,PM2.5,2010/1/15 4:00,2010,1,15,4,13
Beijing,PM2.5,2010/1/15 5:00,2010,1,15,5,23
Beijing,PM2.5,2010/1/15 6:00,2010,1,15,6,26
Beijing,PM2.5,2010/1/15 7:00,2010,1,15,7,27
Beijing,PM2.5,2010/1/15 8:00,2010,1,15,8,30
Beijing,PM2.5,2010/1/15 9:00,2010,1,15,9,28
Beijing,PM2.5,2010/1/15 10:00,2010,1,15,10,26
Beijing,PM2.5,2010/1/15 11:00,2010,1,15,11,26
Beijing,PM2.5,2010/1/15 12:00,2010,1,15,12,31
Beijing,PM2.5,2010/1/15 13:00,2010,1,15,13,35
Beijing,PM2.5,2010/1/15 14:00,2010,1,15,14,36
Beijing,PM2.5,2010/1/15 15:00,2010,1,15,15,37
Beijing,PM2.5,2010/1/15 16:00,2010,1,15,16,64
Beijing,PM2.5,2010/1/15 17:00,2010,1,15,17,83
Beijing,PM2.5,2010/1/15 18:00,2010,1,15,18,91
Beijing,PM2.5,2010/1/15 19:00,2010,1,15,19,90
Beijing,PM2.5,2010/1/15 20:00,2010,1,15,20,102
Beijing,PM2.5,2010/1/15 21:00,2010,1,15,21,94
Beijing,PM2.5,2010/1/15 22:00,2010,1,15,22,87
Beijing,PM2.5,2010/1/15 23:00,2010,1,15,23,141
Beijing,PM2.5,2010/1/16 0:00,2010,1,16,0,211
Beijing,PM2.5,2010/1/16 1:00,2010,1,16,1,242
Beijing,PM2.5,2010/1/16 2:00,2010,1,16,2,271
Beijing,PM2.5,2010/1/16 3:00,2010,1,16,3,249
Beijing,PM2.5,2010/1/16 4:00,2010,1,16,4,200
Beijing,PM2.5,2010/1/16 5:00,2010,1,16,5,147
Beijing,PM2.5,2010/1/16 6:00,2010,1,16,6,114
Beijing,PM2.5,2010/1/16 7:00,2010,1,16,7,102
Beijing,PM2.5,2010/1/16 8:00,2010,1,16,8,108
Beijing,PM2.5,2010/1/16 9:00,2010,1,16,9,135
Beijing,PM2.5,2010/1/16 10:00,2010,1,16,10,120
Beijing,PM2.5,2010/1/16 11:00,2010,1,16,11,148
Beijing,PM2.5,2010/1/16 12:00,2010,1,16,12,127
Beijing,PM2.5,2010/1/16 13:00,2010,1,16,13,128
Beijing,PM2.5,2010/1/16 14:00,2010,1,16,14,140
Beijing,PM2.5,2010/1/16 15:00,2010,1,16,15,148
Beijing,PM2.5,2010/1/16 16:00,2010,1,16,16,150
Beijing,PM2.5,2010/1/16 17:00,2010,1,16,17,154
Beijing,PM2.5,2010/1/16 18:00,2010,1,16,18,197
Beijing,PM2.5,2010/1/16 19:00,2010,1,16,19,235
Beijing,PM2.5,2010/1/16 20:00,2010,1,16,20,261
Beijing,PM2.5,2010/1/16 21:00,2010,1,16,21,269
Beijing,PM2.5,2010/1/16 22:00,2010,1,16,22,266
Beijing,PM2.5,2010/1/16 23:00,2010,1,16,23,263
Beijing,PM2.5,2010/1/17 0:00,2010,1,17,0,241
Beijing,PM2.5,2010/1/17 1:00,2010,1,17,1,205
Beijing,PM2.5,2010/1/17 2:00,2010,1,17,2,160
