Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/5 10:00,2011,1,5,10,21
Beijing,PM2.5,2011/1/5 11:00,2011,1,5,11,18
Beijing,PM2.5,2011/1/5 12:00,2011,1,5,12,19
Beijing,PM2.5,2011/1/5 13:00,2011,1,5,13,16
Beijing,PM2.5,2011/1/5 14:00,2011,1,5,14,18
Beijing,PM2.5,2011/1/5 15:00,2011,1,5,15,18
Beijing,PM2.5,2011/1/5 16:00,2011,1,5,16,16
Beijing,PM2.5,2011/1/5 17:00,2011,1,5,17,10
Beijing,PM2.5,2011/1/5 18:00,2011,1,5,18,16
Beijing,PM2.5,2011/1/5 19:00,2011,1,5,19,17
Beijing,PM2.5,2011/1/5 20:00,2011,1,5,20,17
Beijing,PM2.5,2011/1/5 21:00,2011,1,5,21,30
Beijing,PM2.5,2011/1/5 22:00,2011,1,5,22,12
Beijing,PM2.5,2011/1/5 23:00,2011,1,5,23,13
Beijing,PM2.5,2011/1/6 0:00,2011,1,6,0,17
Beijing,PM2.5,2011/1/6 1:00,2011,1,6,1,10
Beijing,PM2.5,2011/1/6 2:00,2011,1,6,2,12
Beijing,PM2.5,2011/1/6 3:00,2011,1,6,3,13
Beijing,PM2.5,2011/1/6 4:00,2011,1,6,4,13
Beijing,PM2.5,2011/1/6 5:00,2011,1,6,5,9
Beijing,PM2.5,2011/1/6 6:00,2011,1,6,6,6
Beijing,PM2.5,2011/1/6 7:00,2011,1,6,7,9
Beijing,PM2.5,2011/1/6 8:00,2011,1,6,8,14
Beijing,PM2.5,2011/1/6 9:00,2011,1,6,9,14
Beijing,PM2.5,2011/1/6 10:00,2011,1,6,10,13
Beijing,PM2.5,2011/1/6 11:00,2011,1,6,11,18
Beijing,PM2.5,2011/1/6 12:00,2011,1,6,12,15
Beijing,PM2.5,2011/1/6 13:00,2011,1,6,13,18
Beijing,PM2.5,2011/1/6 14:00,2011,1,6,14,13
Beijing,PM2.5,2011/1/6 15:00,2011,1,6,15,13
Beijing,PM2.5,2011/1/6 16:00,2011,1,6,16,20
Beijing,PM2.5,2011/1/6 17:00,2011,1,6,17,21
Beijing,PM2.5,2011/1/6 18:00,2011,1,6,18,22
Beijing,PM2.5,2011/1/6 19:00,2011,1,6,19,27
Beijing,PM2.5,2011/1/6 20:00,2011,1,6,20,21
Beijing,PM2.5,2011/1/6 21:00,2011,1,6,21,28
Beijing,PM2.5,2011/1/6 22:00,2011,1,6,22,22
Beijing,PM2.5,2011/1/6 23:00,2011,1,6,23,18
Beijing,PM2.5,2011/1/7 0:00,2011,1,7,0,17
Beijing,PM2.5,2011/1/7 1:00,2011,1,7,1,16
Beijing,PM2.5,2011/1/7 2:00,2011,1,7,2,27
Beijing,PM2.5,2011/1/7 3:00,2011,1,7,3,17
Beijing,PM2.5,2011/1/7 4:00,2011,1,7,4,13
Beijing,PM2.5,2011/1/7 5:00,2011,1,7,5,23
Beijing,PM2.5,2011/1/7 6:00,2011,1,7,6,27
Beijing,PM2.5,2011/1/7 7:00,2011,1,7,7,44
Beijing,PM2.5,2011/1/7 8:00,2011,1,7,8,24
Beijing,PM2.5,2011/1/7 9:00,2011,1,7,9,32
Beijing,PM2.5,2011/1/7 10:00,2011,1,7,10,40
Beijing,PM2.5,2011/1/7 11:00,2011,1,7,11,43
Beijing,PM2.5,2011/1/7 12:00,2011,1,7,12,51
Beijing,PM2.5,2011/1/7 13:00,2011,1,7,13,48
Beijing,PM2.5,2011/1/7 14:00,2011,1,7,14,56
Beijing,PM2.5,2011/1/7 15:00,2011,1,7,15,56
Beijing,PM2.5,2011/1/7 16:00,2011,1,7,16,54
Beijing,PM2.5,2011/1/7 17:00,2011,1,7,17,69
Beijing,PM2.5,2011/1/7 18:00,2011,1,7,18,79
Beijing,PM2.5,2011/1/7 19:00,2011,1,7,19,79
Beijing,PM2.5,2011/1/7 20:00,2011,1,7,20,92
Beijing,PM2.5,2011/1/7 21:00,2011,1,7,21,86
Beijing,PM2.5,2011/1/7 22:00,2011,1,7,22,109
Beijing,PM2.5,2011/1/7 23:00,2011,1,7,23,120
Beijing,PM2.5,2011/1/8 0:00,2011,1,8,0,126
Beijing,PM2.5,2011/1/8 1:00,2011,1,8,1,156
Beijing,PM2.5,2011/1/8 2:00,2011,1,8,2,156
Beijing,PM2.5,2011/1/8 3:00,2011,1,8,3,173
Beijing,PM2.5,2011/1/8 4:00,2011,1,8,4,181
