Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2008/4/8 15:00,2008,4,8,15,207
Beijing,PM2.5,2008/4/8 16:00,2008,4,8,16,180
Beijing,PM2.5,2008/4/8 17:00,2008,4,8,17,152
Beijing,PM2.5,2008/4/8 18:00,2008,4,8,18,162
Beijing,PM2.5,2008/4/8 19:00,2008,4,8,19,171
Beijing,PM2.5,2008/4/8 20:00,2008,4,8,20,219
Beijing,PM2.5,2008/4/8 21:00,2008,4,8,21,86
Beijing,PM2.5,2008/4/8 22:00,2008,4,8,22,63
Beijing,PM2.5,2008/4/8 23:00,2008,4,8,23,61
Beijing,PM2.5,2008/4/9 0:00,2008,4,9,0,64
Beijing,PM2.5,2008/4/9 1:00,2008,4,9,1,64
Beijing,PM2.5,2008/4/9 2:00,2008,4,9,2,69
Beijing,PM2.5,2008/4/9 3:00,2008,4,9,3,80
Beijing,PM2.5,2008/4/9 4:00,2008,4,9,4,71
Beijing,PM2.5,2008/4/9 5:00,2008,4,9,5,73
Beijing,PM2.5,2008/4/9 6:00,2008,4,9,6,69
Beijing,PM2.5,2008/4/9 7:00,2008,4,9,7,69
Beijing,PM2.5,2008/4/9 8:00,2008,4,9,8,64
Beijing,PM2.5,2008/4/9 9:00,2008,4,9,9,69
Beijing,PM2.5,2008/4/9 10:00,2008,4,9,10,70
Beijing,PM2.5,2008/4/9 11:00,2008,4,9,11,69
Beijing,PM2.5,2008/4/9 12:00,2008,4,9,12,56
Beijing,PM2.5,2008/4/9 13:00,2008,4,9,13,52
Beijing,PM2.5,2008/4/9 14:00,2008,4,9,14,54
Beijing,PM2.5,2008/4/9 15:00,2008,4,9,15,50
Beijing,PM2.5,2008/4/9 16:00,2008,4,9,16,57
Beijing,PM2.5,2008/4/9 17:00,2008,4,9,17,71
Beijing,PM2.5,2008/4/9 18:00,2008,4,9,18,118
Beijing,PM2.5,2008/4/9 19:00,2008,4,9,19,128
Beijing,PM2.5,2008/4/9 20:00,2008,4,9,20,130
Beijing,PM2.5,2008/4/9 21:00,2008,4,9,21,138
Beijing,PM2.5,2008/4/9 22:00,2008,4,9,22,142
Beijing,PM2.5,2008/4/9 23:00,2008,4,9,23,115
Beijing,PM2.5,2008/4/10 0:00,2008,4,10,0,113
Beijing,PM2.5,2008/4/10 1:00,2008,4,10,1,126
Beijing,PM2.5,2008/4/10 2:00,2008,4,10,2,144
Beijing,PM2.5,2008/4/10 3:00,2008,4,10,3,150
Beijing,PM2.5,2008/4/10 4:00,2008,4,10,4,129
Beijing,PM2.5,2008/4/10 5:00,2008,4,10,5,123
Beijing,PM2.5,2008/4/10 6:00,2008,4,10,6,113
Beijing,PM2.5,2008/4/10 7:00,2008,4,10,7,114
Beijing,PM2.5,2008/4/10 8:00,2008,4,10,8,111
Beijing,PM2.5,2008/4/10 9:00,2008,4,10,9,105
Beijing,PM2.5,2008/4/10 10:00,2008,4,10,10,90
Beijing,PM2.5,2008/4/10 11:00,2008,4,10,11,92
Beijing,PM2.5,2008/4/10 12:00,2008,4,10,12,94
Beijing,PM2.5,2008/4/10 13:00,2008,4,10,13,79
Beijing,PM2.5,2008/4/10 14:00,2008,4,10,14,59
Beijing,PM2.5,2008/4/10 15:00,2008,4,10,15,49
Beijing,PM2.5,2008/4/10 16:00,2008,4,10,16,47
Beijing,PM2.5,2008/4/10 17:00,2008,4,10,17,45
Beijing,PM2.5,2008/4/10 18:00,2008,4,10,18,53
Beijing,PM2.5,2008/4/10 19:00,2008,4,10,19,54
Beijing,PM2.5,2008/4/10 20:00,2008,4,10,20,57
Beijing,PM2.5,2008/4/10 21:00,2008,4,10,21,56
Beijing,PM2.5,2008/4/10 22:00,2008,4,10,22,49
Beijing,PM2.5,2008/4/10 23:00,2008,4,10,23,49
Beijing,PM2.5,2008/4/11 0:00,2008,4,11,0,58
Beijing,PM2.5,2008/4/11 1:00,2008,4,11,1,58
Beijing,PM2.5,2008/4/11 2:00,2008,4,11,2,64
Beijing,PM2.5,2008/4/11 3:00,2008,4,11,3,72
Beijing,PM2.5,2008/4/11 4:00,2008,4,11,4,88
Beijing,PM2.5,2008/4/11 5:00,2008,4,11,5,88
Beijing,PM2.5,2008/4/11 6:00,2008,4,11,6,87
Beijing,PM2.5,2008/4/11 7:00,2008,4,11,7,72
